"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","John Wall",9700,"Was@Mem 08:00PM ET",43.864,"Was"
"SF","Kawhi Leonard",8600,"Uta@SA 08:30PM ET",40.902,"SA"
"SG","Eric Bledsoe",8400,"Pho@Dal 08:30PM ET",41.370,"Pho"
"C","Pau Gasol",7900,"Phi@Chi 08:00PM ET",38.500,"Chi"
"PF","Paul Millsap",7900,"Mia@Atl 08:00PM ET",41.190,"Atl"
"SG","Jimmy Butler",7700,"Phi@Chi 08:00PM ET",37.131,"Chi"
"PF","Derrick Favors",7700,"Uta@SA 08:30PM ET",36.438,"Uta"
"PG","Brandon Knight",7600,"Pho@Dal 08:30PM ET",37.979,"Pho"
"SF","Gordon Hayward",7500,"Uta@SA 08:30PM ET",32.583,"Uta"
"C","Marc Gasol",7300,"Was@Mem 08:00PM ET",34.292,"Mem"
"PF","Chris Bosh",7200,"Mia@Atl 08:00PM ET",35.500,"Mia"
"SG","Bradley Beal",7200,"Was@Mem 08:00PM ET",33.029,"Was"
"SG","Dwyane Wade",7000,"Mia@Atl 08:00PM ET",32.363,"Mia"
"SF","Robert Covington",7000,"Phi@Chi 08:00PM ET",30.683,"Phi"
"PF","Dirk Nowitzki",6900,"Pho@Dal 08:30PM ET",32.609,"Dal"
"C","Hassan Whiteside",6800,"Mia@Atl 08:00PM ET",35.167,"Mia"
"PF","LaMarcus Aldridge",6700,"Uta@SA 08:30PM ET",31.239,"SA"
"PG","Deron Williams",6600,"Pho@Dal 08:30PM ET",31.307,"Dal"
"C","Al Horford",6500,"Mia@Atl 08:00PM ET",33.340,"Atl"
"PF","Zach Randolph",6400,"Was@Mem 08:00PM ET",28.276,"Mem"
"PG","Jeff Teague",6400,"Mia@Atl 08:00PM ET",30.795,"Atl"
"PG","Derrick Rose",6400,"Phi@Chi 08:00PM ET",27.118,"Chi"
"C","Jahlil Okafor",6400,"Phi@Chi 08:00PM ET",31.602,"Phi"
"C","Marcin Gortat",6200,"Was@Mem 08:00PM ET",29.211,"Was"
"PG","Mike Conley",6200,"Was@Mem 08:00PM ET",29.656,"Mem"
"SF","Otto Porter",6200,"Was@Mem 08:00PM ET",26.477,"Was"
"C","Rudy Gobert",6200,"Uta@SA 08:30PM ET",31.536,"Uta"
"C","Zaza Pachulia",6000,"Pho@Dal 08:30PM ET",29.042,"Dal"
"PF","Jon Leuer",5900,"Pho@Dal 08:30PM ET",19.177,"Pho"
"PF","Nerlens Noel",5800,"Phi@Chi 08:00PM ET",25.863,"Phi"
"C","Tim Duncan",5700,"Uta@SA 08:30PM ET",28.174,"SA"
"SG","Wesley Matthews",5600,"Pho@Dal 08:30PM ET",23.205,"Dal"
