"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF","Kyle Anderson",3200,"LAL@SA 09:30PM ET",8.913,"SA"
"PG","Raul Neto",3200,"OKC@Uta 09:00PM ET",11.888,"Uta"
"C","Myles Turner",3200,"Mia@Ind 07:00PM ET",12.031,"Ind"
"SG","Devin Booker",3200,"Por@Pho 09:30PM ET",9.671,"Pho"
"PF","Trey Lyles",3200,"OKC@Uta 09:00PM ET",6.681,"Uta"
"PF","Kevin Garnett",3100,"Min@Den 09:00PM ET",14.197,"Min"
"SG","Mike Miller",3100,"Min@Den 09:00PM ET",5.941,"Den"
"PG","Steve Blake",3100,"Det@Phi 07:00PM ET",11.632,"Det"
"SG","James Jones",3100,"Cle@Orl 07:00PM ET",6.425,"Cle"
"C","Chris Kaman",3100,"Por@Pho 09:30PM ET",8.167,"Por"
"SF","Tayshaun Prince",3100,"Min@Den 09:00PM ET",7.298,"Min"
"PG","C.J. Watson",3100,"Cle@Orl 07:00PM ET",13.875,"Orl"
"PF","Anthony Tolliver",3100,"Det@Phi 07:00PM ET",11.830,"Det"
"C","Anderson Varejao",3100,"Cle@Orl 07:00PM ET",6.556,"Cle"
"SG","Anthony Morrow",3100,"OKC@Uta 09:00PM ET",9.450,"OKC"
"C","Aron Baynes",3100,"Det@Phi 07:00PM ET",11.109,"Det"
"PG","D.J. Augustin",3100,"OKC@Uta 09:00PM ET",11.583,"OKC"
"SG","Gerald Henderson",3100,"Por@Pho 09:30PM ET",10.607,"Por"
"C","Marreese Speights",3100,"GS@Bos 07:30PM ET",10.368,"GS"
"C","Jeff Withey",3100,"OKC@Uta 09:00PM ET",8.521,"Uta"
"SF","Solomon Hill",3100,"Mia@Ind 07:00PM ET",6.938,"Ind"
"PG","Shabazz Napier",3100,"Cle@Orl 07:00PM ET",9.643,"Orl"
"SF","Jonathon Simmons",3100,"LAL@SA 09:30PM ET",10.028,"SA"
"SG","James Ennis",3100,"Cha@Mem 08:00PM ET",2.625,"Mem"
"C","Dewayne Dedmon",3100,"Cle@Orl 07:00PM ET",13.679,"Orl"
"SF","P.J. Hairston",3100,"Cha@Mem 08:00PM ET",8.917,"Cha"
"SF","Jakarr Sampson",3100,"Det@Phi 07:00PM ET",10.886,"Phi"
"SG","Rashad Vaughn",3100,"Mil@Tor 07:30PM ET",5.219,"Mil"
"SG","Vince Carter",3000,"Cha@Mem 08:00PM ET",9.614,"Mem"
"PG","Andre Miller",3000,"Min@Den 09:00PM ET",13.861,"Min"
"PF","Matt Bonner",3000,"LAL@SA 09:30PM ET",4.313,"SA"
"C","Nick Collison",3000,"OKC@Uta 09:00PM ET",9.618,"OKC"
"SG","Alan Anderson",3000,"Was@NO 08:00PM ET",0,"Was"
"C","Chris Andersen",3000,"Mia@Ind 07:00PM ET",4.417,"Mia"
"PG","Ronnie Price",3000,"Por@Pho 09:30PM ET",8.083,"Pho"
"PF","Drew Gooden",3000,"Was@NO 08:00PM ET",11.542,"Was"
"PF","Amar'e Stoudemire",3000,"Mia@Ind 07:00PM ET",9.000,"Mia"
"SG","Rasual Butler",3000,"LAL@SA 09:30PM ET",7.403,"SA"
"SF","Steve Novak",3000,"OKC@Uta 09:00PM ET",4.750,"OKC"
"PF","Chris Copeland",3000,"Mil@Tor 07:30PM ET",4.533,"Mil"
"C","Kendrick Perkins",3000,"Was@NO 08:00PM ET",9.667,"NO"
"PF","Udonis Haslem",3000,"Mia@Ind 07:00PM ET",6.786,"Mia"
"PG","Beno Udrih",3000,"Mia@Ind 07:00PM ET",9.071,"Mia"
"PG","Toney Douglas",3000,"Was@NO 08:00PM ET",13.625,"NO"
"PF","Carl Landry",3000,"Det@Phi 07:00PM ET",0,"Phi"
"C","Sasha Kaun",3000,"Cle@Orl 07:00PM ET",2.950,"Cle"
"PG","Brian Roberts",3000,"Cha@Mem 08:00PM ET",5.100,"Cha"
"PF","Joel Anthony",3000,"Det@Phi 07:00PM ET",3.813,"Det"
"PF","Jason Thompson",3000,"GS@Bos 07:30PM ET",5.841,"GS"
"PF","Tyler Hansbrough",3000,"Cha@Mem 08:00PM ET",6.722,"Cha"
"SF","Alonzo Gee",3000,"Was@NO 08:00PM ET",10.774,"NO"
"SF","Quincy Pondexter",3000,"Was@NO 08:00PM ET",0,"NO"
"SG","Jodie Meeks",3000,"Det@Phi 07:00PM ET",2.000,"Det"
"SG","Sonny Weems",3000,"Por@Pho 09:30PM ET",4.500,"Pho"
"SG","Elijah Millsap",3000,"OKC@Uta 09:00PM ET",5.875,"Uta"
"SF","Kyle Singler",3000,"OKC@Uta 09:00PM ET",5.559,"OKC"
"C","Robert Sacre",3000,"LAL@SA 09:30PM ET",8.875,"LAL"
"C","DeJuan Blair",3000,"Was@NO 08:00PM ET",5.900,"Was"
"SF","Luke Babbitt",3000,"Was@NO 08:00PM ET",10.983,"NO"
"C","Tyler Zeller",3000,"GS@Bos 07:30PM ET",7.233,"Bos"
"SF","Chris Johnson",3000,"OKC@Uta 09:00PM ET",2.867,"Uta"
