"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",10400,"Por@OKC 08:00PM ET",54.948,"OKC"
"SF","Kevin Durant",10200,"Por@OKC 08:00PM ET",48.958,"OKC"
"PG","John Wall",9500,"Was@SA 08:30PM ET",42.870,"Was"
"PG","Damian Lillard",9200,"Por@OKC 08:00PM ET",42.827,"Por"
"SF","Kawhi Leonard",8600,"Was@SA 08:30PM ET",40.813,"SA"
"PF","Paul Millsap",8000,"Phi@Atl 08:00PM ET",40.808,"Atl"
"C","Pau Gasol",7800,"Mem@Chi 08:00PM ET",38.307,"Chi"
"SG","Jimmy Butler",7500,"Mem@Chi 08:00PM ET",37.136,"Chi"
"C","Marc Gasol",7400,"Mem@Chi 08:00PM ET",34.798,"Mem"
"SG","Bradley Beal",7200,"Was@SA 08:30PM ET",33.029,"Was"
"SG","C.J. McCollum",6900,"Por@OKC 08:00PM ET",32.904,"Por"
"C","Jahlil Okafor",6900,"Phi@Atl 08:00PM ET",32.365,"Phi"
"SF","Robert Covington",6800,"Phi@Atl 08:00PM ET",30.735,"Phi"
"PF","LaMarcus Aldridge",6700,"Was@SA 08:30PM ET",31.083,"SA"
"C","Al Horford",6500,"Phi@Atl 08:00PM ET",33.327,"Atl"
"PG","Jeff Teague",6300,"Phi@Atl 08:00PM ET",30.098,"Atl"
"C","Marcin Gortat",6200,"Was@SA 08:30PM ET",28.938,"Was"
"PG","Mike Conley",6200,"Mem@Chi 08:00PM ET",30.096,"Mem"
"PG","Derrick Rose",6200,"Mem@Chi 08:00PM ET",26.375,"Chi"
"SF","Otto Porter",6100,"Was@SA 08:30PM ET",25.924,"Was"
"PF","Zach Randolph",6000,"Mem@Chi 08:00PM ET",27.536,"Mem"
"PF","Serge Ibaka",6000,"Por@OKC 08:00PM ET",28.854,"OKC"
"PF","Nerlens Noel",5800,"Phi@Atl 08:00PM ET",25.357,"Phi"
"C","Tim Duncan",5600,"Was@SA 08:30PM ET",27.490,"SA"
"SF","Kent Bazemore",5400,"Phi@Atl 08:00PM ET",25.369,"Atl"
"PG","Tony Parker",5200,"Was@SA 08:30PM ET",24.290,"SA"
"SF","Al-Farouq Aminu",5200,"Por@OKC 08:00PM ET",25.413,"Por"
"SF","Matt Barnes",5100,"Mem@Chi 08:00PM ET",20.500,"Mem"
"C","Joakim Noah",5100,"Mem@Chi 08:00PM ET",23.071,"Chi"
"C","Mason Plumlee",5100,"Por@OKC 08:00PM ET",26.635,"Por"
"PF","Nikola Mirotic",5000,"Mem@Chi 08:00PM ET",24.205,"Chi"
"SF","Jerami Grant",5000,"Phi@Atl 08:00PM ET",22.760,"Phi"
"PG","Dennis Schroder",5000,"Phi@Atl 08:00PM ET",21.529,"Atl"
"SF","Jeff Green",4900,"Mem@Chi 08:00PM ET",19.683,"Mem"
"PF","Ed Davis",4700,"Por@OKC 08:00PM ET",21.221,"Por"
"PG","Isaiah Canaan",4500,"Phi@Atl 08:00PM ET",18.971,"Phi"
"PG","T.J. McConnell",4500,"Phi@Atl 08:00PM ET",23.279,"Phi"
"C","Enes Kanter",4500,"Por@OKC 08:00PM ET",22.417,"OKC"
"SF","Thabo Sefolosha",4400,"Phi@Atl 08:00PM ET",19.443,"Atl"
"PF","Taj Gibson",4400,"Mem@Chi 08:00PM ET",18.364,"Chi"
"SG","Kyle Korver",4300,"Phi@Atl 08:00PM ET",20.573,"Atl"
"SF","Jared Dudley",4300,"Was@SA 08:30PM ET",16.955,"Was"
"SG","Manu Ginobili",4200,"Was@SA 08:30PM ET",21.226,"SA"
"SG","Gary Neal",4200,"Was@SA 08:30PM ET",16.643,"Was"
"SG","Courtney Lee",4100,"Mem@Chi 08:00PM ET",17.760,"Mem"
"PG","Mario Chalmers",4000,"Mem@Chi 08:00PM ET",19.022,"Mem"
"SG","Allen Crabbe",4000,"Por@OKC 08:00PM ET",16.298,"Por"
"SG","Dion Waiters",4000,"Por@OKC 08:00PM ET",19.885,"OKC"
"PG","Tony Wroten",4000,"Phi@Atl 08:00PM ET",11.875,"Phi"
"PF","Nene Hilario",3900,"Was@SA 08:30PM ET",17.604,"Was"
"PG","Ramon Sessions",3900,"Was@SA 08:30PM ET",17.043,"Was"
"C","Steven Adams",3900,"Por@OKC 08:00PM ET",17.604,"OKC"
"PF","David West",3800,"Was@SA 08:30PM ET",13.365,"SA"
"SG","Danny Green",3800,"Was@SA 08:30PM ET",17.471,"SA"
"C","Meyers Leonard",3800,"Por@OKC 08:00PM ET",17.539,"Por"
"PF","Kris Humphries",3700,"Was@SA 08:30PM ET",14.042,"Was"
"SG","Garrett Temple",3700,"Was@SA 08:30PM ET",11.560,"Was"
"PG","Patty Mills",3700,"Was@SA 08:30PM ET",17.327,"SA"
"SG","Hollis Thompson",3600,"Phi@Atl 08:00PM ET",17.048,"Phi"
"SF","Doug McDermott",3600,"Mem@Chi 08:00PM ET",14.080,"Chi"
"PF","Boris Diaw",3500,"Was@SA 08:30PM ET",14.212,"SA"
"SF","Tony Snell",3500,"Mem@Chi 08:00PM ET",13.045,"Chi"
"SG","Nik Stauskas",3500,"Phi@Atl 08:00PM ET",15.896,"Phi"
"SF","Tony Allen",3400,"Mem@Chi 08:00PM ET",14.948,"Mem"
"PG","Aaron Brooks",3400,"Mem@Chi 08:00PM ET",15.482,"Chi"
"PF","JaMychal Green",3300,"Mem@Chi 08:00PM ET",13.692,"Mem"
"SG","Andre Roberson",3300,"Por@OKC 08:00PM ET",12.587,"OKC"
"PG","Kirk Hinrich",3200,"Mem@Chi 08:00PM ET",11.154,"Chi"
"PF","Brandan Wright",3200,"Mem@Chi 08:00PM ET",14.571,"Mem"
"SG","Gerald Henderson",3200,"Por@OKC 08:00PM ET",11.838,"Por"
"PF","Mike Scott",3200,"Phi@Atl 08:00PM ET",9.988,"Atl"
"C","Mike Muscala",3200,"Phi@Atl 08:00PM ET",10.813,"Atl"
"SF","Jonathon Simmons",3200,"Was@SA 08:30PM ET",12.042,"SA"
"SF","Maurice Harkless",3200,"Por@OKC 08:00PM ET",12.144,"Por"
"C","Ryan Hollins",3100,"Was@SA 08:30PM ET",4.450,"Was"
"SG","Anthony Morrow",3100,"Por@OKC 08:00PM ET",9.315,"OKC"
"PG","D.J. Augustin",3100,"Por@OKC 08:00PM ET",10.635,"OKC"
"C","DeJuan Blair",3100,"Was@SA 08:30PM ET",6.885,"Was"
"SG","Lamar Patterson",3100,"Phi@Atl 08:00PM ET",7.438,"Atl"
"PG","Kendall Marshall",3100,"Phi@Atl 08:00PM ET",14.500,"Phi"
"SG","James Ennis",3100,"Mem@Chi 08:00PM ET",2.625,"Mem"
"SF","Jakarr Sampson",3100,"Phi@Atl 08:00PM ET",10.460,"Phi"
"PF","Richaun Holmes",3100,"Phi@Atl 08:00PM ET",10.313,"Phi"
"SF","Kyle Anderson",3100,"Was@SA 08:30PM ET",8.490,"SA"
"PF","Noah Vonleh",3100,"Por@OKC 08:00PM ET",8.788,"Por"
"SG","Vince Carter",3000,"Mem@Chi 08:00PM ET",9.614,"Mem"
"PF","Matt Bonner",3000,"Was@SA 08:30PM ET",5.650,"SA"
"C","Nick Collison",3000,"Por@OKC 08:00PM ET",8.875,"OKC"
"C","Chris Kaman",3000,"Por@OKC 08:00PM ET",6.125,"Por"
"SG","Alan Anderson",3000,"Was@SA 08:30PM ET",0,"Was"
"PF","Drew Gooden",3000,"Was@SA 08:30PM ET",11.542,"Was"
"SG","Rasual Butler",3000,"Was@SA 08:30PM ET",7.310,"SA"
"SF","Mike Dunleavy",3000,"Mem@Chi 08:00PM ET",0,"Chi"
"SF","Steve Novak",3000,"Por@OKC 08:00PM ET",4.750,"OKC"
"PF","Carl Landry",3000,"Phi@Atl 08:00PM ET",0,"Phi"
"C","Tiago Splitter",3000,"Phi@Atl 08:00PM ET",12.147,"Atl"
"SG","Justin Holiday",3000,"Phi@Atl 08:00PM ET",7.250,"Atl"
"SG","E'Twaun Moore",3000,"Mem@Chi 08:00PM ET",9.163,"Chi"
"SF","Kyle Singler",3000,"Por@OKC 08:00PM ET",5.319,"OKC"
"PG","Shelvin Mack",3000,"Phi@Atl 08:00PM ET",8.225,"Atl"
"PG","Tim Frazier",3000,"Por@OKC 08:00PM ET",2.058,"Por"
"PF","Cameron Bairstow",3000,"Mem@Chi 08:00PM ET",2.583,"Chi"
"SG","Tim Hardaway Jr.",3000,"Phi@Atl 08:00PM ET",5.438,"Atl"
"SF","Josh Huestis",3000,"Por@OKC 08:00PM ET",0,"OKC"
"PG","Russ Smith",3000,"Mem@Chi 08:00PM ET",3.904,"Mem"
"C","Boban Marjanovic",3000,"Was@SA 08:30PM ET",6.417,"SA"
"PG","Ray McCallum",3000,"Was@SA 08:30PM ET",5.063,"SA"
"SF","Pat Connaughton",3000,"Por@OKC 08:00PM ET",1.042,"Por"
"SG","Jordan Adams",3000,"Mem@Chi 08:00PM ET",9.500,"Mem"
"PF","Mitch McGary",3000,"Por@OKC 08:00PM ET",3.792,"OKC"
"PF","Jarell Martin",3000,"Mem@Chi 08:00PM ET",0,"Mem"
"PF","Bobby Portis",3000,"Mem@Chi 08:00PM ET",7.625,"Chi"
"PF","Christian Wood",3000,"Phi@Atl 08:00PM ET",8.865,"Phi"
"PG","Cameron Payne",3000,"Por@OKC 08:00PM ET",3.750,"OKC"
"C","Joel Embiid",3000,"Phi@Atl 08:00PM ET",0,"Phi"
"C","Walter Tavares",3000,"Phi@Atl 08:00PM ET",1.875,"Atl"
"C","Cristiano Felicio",3000,"Mem@Chi 08:00PM ET",1.750,"Chi"
"PF","Cliff Alexander",3000,"Por@OKC 08:00PM ET",3.833,"Por"
"SF","Kelly Oubre Jr.",3000,"Was@SA 08:30PM ET",5.313,"Was"
"SF","Luis Montero",3000,"Por@OKC 08:00PM ET",2.125,"Por"
