"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","Darrun Hilliard",3000,"Ind@Det 07:30PM ET",4.750,"Det"
"PG","Spencer Dinwiddie",3000,"Ind@Det 07:30PM ET",9.094,"Det"
"SF","Michael Kidd-Gilchrist",3000,"Bos@Cha 07:00PM ET",0,"Cha"
"SF","Branden Dawson",3000,"LAC@Bkn 05:00PM ET",0,"LAC"
"PF","Rakeem Christmas",3000,"Ind@Det 07:30PM ET",0,"Ind"
"SF","Sergey Karasev",3000,"LAC@Bkn 05:00PM ET",2.028,"Bkn"
"SG","R.J. Hunter",3000,"Bos@Cha 07:00PM ET",6.536,"Bos"
"SF","Glenn Robinson III",3000,"Ind@Det 07:30PM ET",8.917,"Ind"
"PF","Jordan Mickey",3000,"Bos@Cha 07:00PM ET",6.125,"Bos"
"PG","Terry Rozier",3000,"Bos@Cha 07:00PM ET",3.911,"Bos"
"SG","James Young",3000,"Bos@Cha 07:00PM ET",4.786,"Bos"
"PG","Aaron Harrison",3000,"Bos@Cha 07:00PM ET",2.800,"Cha"
"PF","Chris McCullough",3000,"LAC@Bkn 05:00PM ET",0,"Bkn"
