"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","James Harden",10800,"Hou@Den 09:00PM ET",51.938,"Hou"
"PF","Anthony Davis",10600,"NO@Por 10:00PM ET",47.400,"NO"
"SF","Paul George",9900,"Tor@Ind 07:00PM ET",47.330,"Ind"
"PG","John Wall",9700,"Was@Mem 08:00PM ET",43.864,"Was"
"C","Andre Drummond",9300,"LAC@Det 07:30PM ET",46.500,"Det"
"PF","Blake Griffin",9100,"LAC@Det 07:30PM ET",44.490,"LAC"
"PG","Kyle Lowry",8900,"Tor@Ind 07:00PM ET",43.479,"Tor"
"PG","Damian Lillard",8800,"NO@Por 10:00PM ET",42.910,"Por"
"SF","Kawhi Leonard",8600,"Uta@SA 08:30PM ET",40.902,"SA"
"SG","Eric Bledsoe",8400,"Pho@Dal 08:30PM ET",41.370,"Pho"
"PG","Chris Paul",8100,"LAC@Det 07:30PM ET",36.750,"LAC"
"C","Pau Gasol",7900,"Phi@Chi 08:00PM ET",38.500,"Chi"
"PF","Paul Millsap",7900,"Mia@Atl 08:00PM ET",41.190,"Atl"
"SG","Jimmy Butler",7700,"Phi@Chi 08:00PM ET",37.131,"Chi"
"PF","Derrick Favors",7700,"Uta@SA 08:30PM ET",36.438,"Uta"
"PG","Brandon Knight",7600,"Pho@Dal 08:30PM ET",37.979,"Pho"
"SF","Gordon Hayward",7500,"Uta@SA 08:30PM ET",32.583,"Uta"
"C","Brook Lopez",7400,"Orl@Bkn 07:30PM ET",36.848,"Bkn"
"C","Marc Gasol",7300,"Was@Mem 08:00PM ET",34.292,"Mem"
"PF","Chris Bosh",7200,"Mia@Atl 08:00PM ET",35.500,"Mia"
"C","Dwight Howard",7200,"Hou@Den 09:00PM ET",35.778,"Hou"
"PF","Thaddeus Young",7200,"Orl@Bkn 07:30PM ET",32.967,"Bkn"
"C","DeAndre Jordan",7200,"LAC@Det 07:30PM ET",35.656,"LAC"
"PG","Reggie Jackson",7200,"LAC@Det 07:30PM ET",35.520,"Det"
"SG","Bradley Beal",7200,"Was@Mem 08:00PM ET",33.029,"Was"
